Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Geraldton,AU,-28.7667,114.6,73.81,53,0,10.36,clear sky
80,Namibe,AO,-15.1961,12.1522,59.63,61,0,4.38,clear sky
81,Shurugwi,ZW,-19.6702,30.0059,42.19,92,0,2.39,clear sky
82,Ballina,AU,-28.8667,153.5667,72.01,60,0,5.73,clear sky
83,George Town,MY,5.4112,100.3354,87.73,77,20,6.91,few clouds
84,Custoias,PT,41.1053,-7.321,51.76,90,59,2.8,broken clouds
85,Kaitangata,NZ,-46.2817,169.8464,43.9,64,0,1.32,clear sky
86,Saint George,US,37.1041,-113.5841,90.19,12,0,6.91,clear sky
87,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,44,6.69,scattered clouds
88,Noumea,NC,-22.2763,166.4572,75.0,99,100,9.01,overcast clouds
89,Ribeira Grande,PT,38.5167,-28.7,64.49,85,33,20.0,scattered clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,70.59,91,0,23.53,clear sky
91,Fethiye,TR,36.6217,29.1164,73.27,53,0,8.52,clear sky
92,Nikolskoye,RU,59.7035,30.7861,57.09,64,4,4.03,clear sky
93,Aleksandrov Gay,RU,50.147,48.5704,81.37,33,17,8.03,few clouds
94,Axim,GH,4.8699,-2.2405,73.42,94,100,6.93,overcast clouds
95,Zhuanghe,CN,39.7008,122.9911,75.36,77,100,11.83,overcast clouds
96,Mengcheng,CN,33.2579,116.5655,95.77,43,55,7.78,broken clouds
97,Nouadhibou,MR,20.931,-17.0347,71.58,88,16,6.91,few clouds
98,Cabo San Lucas,MX,22.8909,-109.9124,87.1,70,21,8.01,few clouds
99,Mount Gambier,AU,-37.8333,140.7667,55.31,100,75,8.05,broken clouds
100,Olustvere,EE,58.5552,25.563,53.8,69,6,1.34,clear sky
101,Hilo,US,19.7297,-155.09,77.29,93,100,4.61,light rain
102,Spring Hill,US,28.4769,-82.5255,79.83,69,0,4.61,clear sky
103,Airai,TL,-8.9266,125.4092,71.29,51,28,7.14,scattered clouds
104,Hithadhoo,MV,-0.6,73.0833,84.38,70,100,9.57,overcast clouds
105,Jackson,US,42.4165,-122.8345,78.67,44,0,5.75,clear sky
106,Dikson,RU,73.5069,80.5464,35.85,87,100,16.93,overcast clouds
107,Cidreira,BR,-30.1811,-50.2056,61.41,94,100,10.09,moderate rain
108,Aklavik,CA,68.2191,-135.0107,71.01,32,5,11.12,clear sky
109,Norman Wells,CA,65.282,-126.8329,57.24,88,75,14.97,broken clouds
110,Mayo,US,38.8876,-76.5119,74.12,87,0,8.05,clear sky
111,Yar-Sale,RU,66.8333,70.8333,71.82,58,80,7.83,broken clouds
